id,bbox,sick
Train_985.jpg,"[0, 0, 64, 43]",1
Train_1573.jpg,"[192, 0, 64, 43]",1
Train_443.jpg,"[320, 0, 64, 43]",0
Train_167.jpg,"[448, 0, 64, 43]",0
Train_1713.jpg,"[512, 0, 64, 43]",1
Train_399.jpg,"[576, 0, 64, 43]",1
Train_436.jpg,"[704, 0, 64, 43]",1
Train_1369.jpg,"[768, 0, 64, 43]",1
Train_395.jpg,"[832, 0, 64, 43]",1
Train_1671.jpg,"[896, 0, 64, 43]",1
Train_1335.jpg,"[960, 0, 64, 43]",0
Train_701.jpg,"[1024, 0, 64, 43]",0
Train_1445.jpg,"[1152, 0, 64, 43]",1
Train_1547.jpg,"[1216, 0, 64, 43]",1
Train_1695.jpg,"[1280, 0, 64, 43]",1
Train_846.jpg,"[1344, 0, 64, 43]",1
Train_352.jpg,"[1408, 0, 64, 43]",1
Train_295.jpg,"[1472, 0, 64, 43]",0
Train_691.jpg,"[1600, 0, 64, 43]",0
Train_707.jpg,"[1664, 0, 64, 43]",1
Train_902.jpg,"[1728, 0, 64, 43]",1
Train_584.jpg,"[1792, 0, 64, 43]",1
Train_140.jpg,"[64, 43, 64, 43]",1
Train_1286.jpg,"[128, 43, 64, 43]",0
Train_1134.jpg,"[192, 43, 64, 43]",1
Train_1232.jpg,"[256, 43, 64, 43]",1
Train_1358.jpg,"[320, 43, 64, 43]",1
Train_361.jpg,"[384, 43, 64, 43]",1
Train_1708.jpg,"[448, 43, 64, 43]",1
Train_1681.jpg,"[512, 43, 64, 43]",0
Train_672.jpg,"[576, 43, 64, 43]",1
Train_1058.jpg,"[704, 43, 64, 43]",0
Train_123.jpg,"[768, 43, 64, 43]",0
Train_875.jpg,"[832, 43, 64, 43]",1
Train_1803.jpg,"[896, 43, 64, 43]",0
Train_1454.jpg,"[960, 43, 64, 43]",1
Train_1400.jpg,"[1024, 43, 64, 43]",1
Train_559.jpg,"[1088, 43, 64, 43]",1
Train_1046.jpg,"[1152, 43, 64, 43]",1
Train_1280.jpg,"[1216, 43, 64, 43]",1
Train_1.jpg,"[1280, 43, 64, 43]",1
Train_749.jpg,"[1408, 43, 64, 43]",1
Train_598.jpg,"[1536, 43, 64, 43]",1
Train_607.jpg,"[1664, 43, 64, 43]",1
Train_72.jpg,"[1728, 43, 64, 43]",0
Train_1035.jpg,"[1792, 43, 64, 43]",1
Train_1157.jpg,"[64, 86, 64, 43]",1
Train_95.jpg,"[128, 86, 64, 43]",1
Train_493.jpg,"[192, 86, 64, 43]",1
Train_949.jpg,"[256, 86, 64, 43]",1
Train_198.jpg,"[320, 86, 64, 43]",0
Train_987.jpg,"[448, 86, 64, 43]",1
Train_1310.jpg,"[576, 86, 64, 43]",1
Train_830.jpg,"[704, 86, 64, 43]",1
Train_1049.jpg,"[768, 86, 64, 43]",1
Train_919.jpg,"[832, 86, 64, 43]",0
Train_954.jpg,"[896, 86, 64, 43]",1
